name,birthYear,birthDate,gender,birthplace
Halder Kirby,1864-01-01T00:00:00+02:00,{1863-10-03|1864-01-01T00:00:00+02:00},male,{Ontario|Ottawa|Canada}
Pete Green (ice hockey),1868-01-01T00:00:00+02:00,1868-03-13,,{Canada|Montreal|Quebec}
Chauncey Kirby,1872-01-01T00:00:00+02:00,{1871-10-15|1872-01-01T00:00:00+02:00},male,{Ontario|Ottawa|Canada}
Weldy Young,1871-01-01T00:00:00+02:00,1871-10-04,,{Ontario|Ottawa|Canada}
Mike Grant,1873-01-01T00:00:00+02:00,1873-11-27,male,{Canada|Montreal|Quebec}
Albert Morel,1873-01-01T00:00:00+02:00,1873-01-01T00:00:00+02:00,male,{Ontario|Ottawa|Canada}
Alf Smith,1873-01-01T00:00:00+02:00,1873-06-03,male,{Ontario|Ottawa|Canada}
Charles Spittal,1874-01-01T00:00:00+02:00,{1874-11-10|1874-11-17},male,{Ontario|Ottawa|Canada}
Dan Bain,1874-01-01T00:00:00+02:00,1874-02-14,male,{Ontario|Belleville Ontario|Canada}
Graham Drinkwater,1875-01-01T00:00:00+02:00,1875-02-22,,{Canada|Montreal|Quebec}
Hartland MacDougall,1875-01-01T00:00:00+02:00,{1875-01-01|1876-03-10},male,{Canada|Montreal|Quebec}
Harvey Pulford,1875-01-01T00:00:00+02:00,1875-04-22,male,{Ontario|Toronto|Canada}
Ernie McLea,1876-01-01T00:00:00+02:00,1876-02-05,male,{Canada|Montreal|Quebec}
Grindy Forrester,1876-01-01T00:00:00+02:00,1876-07-11,male,{Ontario|Barrie|Canada}
Tony Gingras,1876-01-01T00:00:00+02:00,1876-10-20,,{Manitoba|Saint Boniface Winnipeg|Canada}
Rat Westwick,1876-01-01T00:00:00+02:00,1876-04-23,male,{Ontario|Ottawa|Canada}
Jack Marshall (ice hockey),1877-01-01T00:00:00+02:00,1877-03-14,male,{Canada|Saint-Vallier Quebec|Quebec}
Fred Scanlan,1877-01-01T00:00:00+02:00,1877-05-05,,{Canada|Montreal|Quebec}
Harry Trihey,1877-01-01T00:00:00+02:00,1877-12-25,,{Ontario|Kitchener Ontario|Canada}
Arthur Farrell,1877-01-01T00:00:00+02:00,1877-02-08,,{Canada|Montreal|Quebec}
Paddy Moran (ice hockey),1877-01-01T00:00:00+02:00,1877-03-11,male,{Quebec City|Canada|Quebec}
Bouse Hutton,1877-01-01T00:00:00+02:00,1877-10-24,,{Ontario|Ottawa|Canada}
Charles Querrie,1877-01-01T00:00:00+02:00,1877-07-25,,{Ontario|Markham Ontario|Canada}
William Duval (ice hockey),1877-01-01T00:00:00+02:00,{1877-01-01T00:00:00+02:00|1877-08-03},male,{Ontario|Ottawa|Canada}
Dickie Boon,1878-01-01T00:00:00+02:00,1878-01-10,male,{Ontario|Belleville Ontario|Canada}
Billy Nicholson (ice hockey),1878-01-01T00:00:00+02:00,1878-09-19,male,{Canada|Montreal|Quebec}
Charlie Liffiton,1878-01-01T00:00:00+02:00,1878-12-14,male,{Canada|Montreal|Quebec}
Jack Laviolette,1879-01-01T00:00:00+02:00,1879-07-27,male,{Ontario|Belleville Ontario|Canada}
Allan Parr,1879-01-01T00:00:00+02:00,1879-08-16,male,{Ontario|Ottawa|Canada}
Frank Carroll (ice hockey),1879-01-01T00:00:00+02:00,1879-12-20,male,{Ontario|Guelph|Canada}
Hod Stuart,1879-01-01T00:00:00+02:00,1879-02-20,male,{Ontario|Ottawa|Canada}
Roy Schooley,1880-01-01T00:00:00+02:00,1880-04-13,male,{Ontario|Welland|Canada}
Russell Bowie,1880-01-01T00:00:00+02:00,1880-08-24,male,{Canada|Montreal|Quebec}
Arthur Sixsmith,1880-01-01T00:00:00+02:00,{1880-01-01T00:00:00+02:00|1880-06-27},male,{Ontario|Ottawa|Canada}
Arthur A. C. Moore,1880-01-01T00:00:00+02:00,{1880-01-01T00:00:00+02:00|1880-08-25},,{Ontario|Acton Ontario|Canada}
Riley Hern,1880-01-01T00:00:00+02:00,1880-12-05,male,{Ontario|St. Marys Ontario|Canada}
Billy McGimsie,1880-01-01T00:00:00+02:00,1880-06-07,male,{Ontario|Woodville Ontario|Canada}
