name,birthYear,birthDate,gender,birthplace
Thomas D. Green,1848-01-01T00:00:00+02:00,1848-01-01T00:00:00+02:00,male,
James Creighton (ice hockey),1850-01-01T00:00:00+02:00,1850-06-12,male,
Philip Dansken Ross,1858-01-01T00:00:00+02:00,1858-01-01,,
Frank Maurice Stinson Jenkins,1859-01-01T00:00:00+02:00,1859-07-06,male,
Albert Peter Low,1861-01-01T00:00:00+02:00,1861-05-24,male,
Jack Kerr (ice hockey),1863-01-01T00:00:00+02:00,{1863-01-01T00:00:00+02:00|1863-10-05},male,
Halder Kirby,1864-01-01T00:00:00+02:00,{1863-10-03|1864-01-01T00:00:00+02:00},male,{Ontario|Ottawa|Canada}
Fred Hudson,1863-01-01T00:00:00+02:00,1863-01-01T00:00:00+02:00,,
Nelson D. Porter,1863-01-01T00:00:00+02:00,1863-11-28,male,Montreal
Ted Dey,1864-01-01T00:00:00+02:00,1864-04-21,male,
Fred Waghorne,1866-01-01T00:00:00+02:00,1866-01-01T00:00:00+02:00,male,
Malcolm Gordon,1868-01-01T00:00:00+02:00,1868-01-10,male,
Fred Chittick,1868-01-01T00:00:00+02:00,1868-01-01T00:00:00+02:00,male,
Pete Green (ice hockey),1868-01-01T00:00:00+02:00,1868-03-13,,{Canada|Montreal|Quebec}
William Dey,1870-01-01T00:00:00+02:00,1870-01-01T00:00:00+02:00,male,
Tom Howard (ice hockey),1871-01-01T00:00:00+02:00,1871-01-05,male,
Lowry Johnson,1871-01-01T00:00:00+02:00,1871-01-01T00:00:00+02:00,male,
Haviland Routh,,1871-06-20,male,
Billy Barlow,1871-01-01T00:00:00+02:00,1871-01-01T00:00:00+02:00,male,{Montreal|Quebec}
Chauncey Kirby,1872-01-01T00:00:00+02:00,{1871-10-15|1872-01-01T00:00:00+02:00},male,{Ontario|Ottawa|Canada}
Weldy Young,1871-01-01T00:00:00+02:00,1871-10-04,,{Ontario|Ottawa|Canada}
Jack Armytage,1872-01-01T00:00:00+02:00,1872-02-11,male,{Ontario|Fergus Ontario}
Shirley Davidson,1872-01-01T00:00:00+02:00,1872-01-01T00:00:00+02:00,male,
